Name,Rating,Address,City,State,ZIP Code,Latitude,Longitude
Quiosque em frente ao HUB,5.0,SGAN 605 em frente a entrada de pedestres do HUB,Brasília,DF,70840-050,-15.77163,-47.87505
Monjolo,4.0,"CLN 404 Bloco D, 10",Brasília,DF,70845-540,-15.77163,-47.87505
Panificadora e Confeitaria Favorita,4.0,"CLN 405 Bloco E, 17",Brasília,DF,70846-550,-15.77163,-47.87505
Ashram,4.5,Scn 103,Brasília,DF,70732-510,-15.77163,-47.87505
Restaurante Careca,4.0,"CLN, 407",Brasília,DF,70855-520,-15.77163,-47.87505
Cozinha Sorbê,4.0,"405 Norte bloco C, 41",Shcn,DF,,-15.77163,-47.87505
Faz Bem,4.0,"SCLN 407 Bloco E, 59",Shcn,DF,70855-550,-15.77163,-47.87505
Senhora Empada Uma Senhora Massa,4.5,"CLN 203 Bloco D, 11",Brasília,DF,70833-540,-15.77163,-47.87505
Páprica Burger,5.0,Eixinho 204 Norte,Brasília,DF,70297-400,-15.77163,-47.87505
Valentina Pizzaria,4.5,"SCLN 214 BL A, 18",Brasília,DF,70873-510,-15.7431,-47.88667
GenghisKhan,5.0,"CLN 214, bloco C",Shcn,DF,,-15.7431,-47.88667
Santuário,4.5,"CLN, 214",Brasília,DF,70873-530,-15.7431,-47.88667
Dona Lenha 413 Norte,4.5,CLN 413,Brasília,DF,70876-540,-15.7431,-47.88667
Parque Olhos D'água,4.5,"Sqn, 414",Asa Norte,DF,70877-000,-15.7431,-47.88667
Cannelle,5.0,"CLN, 213",Brasília,DF,70872-510,-15.7431,-47.88667
C'est si Bon,5.0,CLN 213,Brasília,DF,70872-510,-15.7431,-47.88667
Santé 13,4.5,"SCLN 413, Bloco A, 40",Brasília,DF,70876-510,-15.7431,-47.88667
La Fornacella,5.0,CLN 312 Bloco B,Brasília,DF,70765-520,-15.7431,-47.88667
El Negro,4.5,"CLN, 413",Shcn,DF,,-15.7431,-47.88667
La Crêperie,3.0,"CLN 214 norte bloco C, 7",Brasília,DF,,-15.7431,-47.88667
Croissanterie,4.0,"SHCN 215 Bloco B, 21",Brasília,DF,70874-520,-15.7431,-47.88667
Torteria di Lorenza,3.5,"CLN 213 Bloco B, 2",Brasília,DF,70872-520,-15.7431,-47.88667
Duna Casa Húngara,5.0,"SCLN, 214",Brasília,DF,70873-530,-15.7431,-47.88667
In The Garden,4.5,"413 Norte, bloco E, 17",Shcn,DF,70740-610,-15.7431,-47.88667
La Boutique Padaria Francesa,4.5,"CLN, 413",Brasília,DF,70876-530,-15.7431,-47.88667
Dunkin' Donuts,3.0,"Shcn Comércio Local Norte, 214",Brasília,DF,70872-510,-15.7431,-47.88667
Café Savana,4.0,"CLN, 116",Brasilia,DF,70773-510,-15.7431,-47.88667
Sushiloko,3.5,Cln 213 Bloco C,Shcn,DF,,-15.7431,-47.88667
Three Burgers,5.0,SCLN 413,Brasília,DF,70876-550,-15.7431,-47.88667
Gibão Carne de Sol,4.5,"Lanchonete, 7",Sps,DF,70610-300,-15.80362,-47.922115
Brazilian American Burguer,5.0,"CLSW, 301",Brasilia,DF,70673-603,-15.80362,-47.922115
Ready Beef,4.5,"CLSW 303 Bloco C, 28",Cruzeiro,DF,70673-623,-15.80362,-47.922115
Parfait Croissant,4.0,"CLSW 103 Bl. C, 88",Sudoeste,DF,70670-523,-15.80362,-47.922115
Café do Ponto,4.5,"CLSW 103, Bloco B, Ed. Rhodes Center, Sudoeste",Sudoeste,DF,70670-521,-15.80362,-47.922115
Hajime Japanese Food,4.0,"CLSW 100 BL A, 01",Brasília,DF,70670-051,-15.80362,-47.922115
Forneria Pizza César,4.0,CLSW 302 BL B  lj 77 ss,Cruzeiro,DF,70673-612,-15.80362,-47.922115
Primeiro Cozinha de Bar,3.5,"Sig Quadra, 8",Brasilia,DF,,-15.80362,-47.922115
Torteria Di Lorenza,3.5,CLS 303,Brasília,DF,70673-622,-15.80362,-47.922115
Restaurante Long,4.5,"CLS 404 Bloco D, 17",Brasília,DF,70238-500,-15.80362,-47.922115
Bella Gula,4.5,Clsw 301,Brasília,DF,70673-602,-15.80362,-47.922115
Cozinha e Sabor,4.0,CLSW 103 Bloco A,Sudoeste,DF,70670-521,-15.80362,-47.922115
Megamatte,5.0,CLSW 302,Brasília,DF,,-15.80362,-47.922115
Fran's Café,3.0,"CLSW, 302",Brasília,DF,70673-613,-15.80362,-47.922115
La Crêperie,4.5,CLSW 301,Sudoeste,DF,70673-603,-15.80362,-47.922115
Cilindro Açaí,5.0,"Clsw 104 Bloco B, 67",Brasília,DF,70670-532,-15.80362,-47.922115
Trattoria 101,4.0,CLSW 101,Brasília,DF,70670-503,-15.80362,-47.922115
Hum! Burger,4.5,"SIG Quadra 08, lote 2385",Brasília,DF,70610-480,-15.80362,-47.922115
Brigadeirando,4.0,CLSW 100,Brasília,DF,70670-051,-15.80362,-47.922115
Frango no Pote,4.0,"CLSW 101, Bloco B, 94",Sudoeste,DF,70670-502,-15.80362,-47.922115
Brazilian American Burguer,5.0,"CLSW, 301",Brasilia,DF,70673-603,-15.800801,-47.924156
Ready Beef,4.5,"CLSW 303 Bloco C, 28",Cruzeiro,DF,70673-623,-15.800801,-47.924156
Parfait Croissant,4.0,"CLSW 103 Bl. C, 88",Sudoeste,DF,70670-523,-15.800801,-47.924156
Café do Ponto,4.5,"CLSW 103, Bloco B, Ed. Rhodes Center, Sudoeste",Sudoeste,DF,70670-521,-15.800801,-47.924156
Torteria Di Lorenza,3.5,CLS 303,Brasília,DF,70673-622,-15.800801,-47.924156
Forneria Pizza César,4.0,CLSW 302 BL B  lj 77 ss,Cruzeiro,DF,70673-612,-15.800801,-47.924156
Megamatte,5.0,CLSW 302,Brasília,DF,,-15.800801,-47.924156
Gibão Carne de Sol,4.5,"Lanchonete, 7",Sps,DF,70610-300,-15.800801,-47.924156
Fran's Café,3.0,"CLSW, 302",Brasília,DF,70673-613,-15.800801,-47.924156
Cozinha e Sabor,4.0,CLSW 103 Bloco A,Sudoeste,DF,70670-521,-15.800801,-47.924156
Peixe na Rede,4.0,"CLSW 102  Bloco B,  58",Sudoeste,DF,,-15.800801,-47.924156
Nathely Pizzaria Express,3.5,"CLSW, 101",Brasília,DF,70670-500,-15.800801,-47.924156
Restaurante Long,4.5,"CLS 404 Bloco D, 17",Brasília,DF,70238-500,-15.800801,-47.924156
Vitapura Ecomercado,4.0,"CLSW 300A, Blovo B, Loja 79",Sudoeste,DF,70673-000,-15.800801,-47.924156
Tchê Self-Service,3.5,"CLSW, 103",Brasília,DF,70670-522,-15.800801,-47.924156
Malabaris,4.0,"CLSW 103 Bloco A, 74",Brasília,DF,70670-521,-15.800801,-47.924156
Amor Aos Pedaços,3.5,CLSW 102 BL C  lj 14/16,Cruzeiro,DF,70670-513,-15.800801,-47.924156
Nautilus,4.0,"CLSW, 103",Brasília,DF,70670-521,-15.800801,-47.924156
